,BA_YDSt,BA_YDSp,YDS_Nt,YDS_Np,tokara,tsugaru
4730,5.539923954,1986.61597,-3.007019326,-2711.446563,0,0
4830,5.489340169,1908.620602,-3.681252357,302.4657586,0,0
4831,4.273858921,1794.854772,-0.960344348,-2620.25052,0,0
4930,5.110410095,1757.0347,-6.51504107,-114.6970505,0,0
4931,3.972610097,1662.441819,-2.262968306,-1122.937288,0,0
5030,4.570342205,1618.479087,-8.031563296,-2516.1998,0,0
5032,2.68018018,1363.153153,0.489004402,-2667.923098,0,0
5033,2.055555556,1204.537037,0.655563497,-3414.35982,0,0
5035,1.08411215,938.2242991,-0.751068359,-2180.902904,0,0
5131,3.221153846,1393.525641,-3.000241593,-2820.147436,0,0
5132,2.548387097,1234.612903,-1.35536371,-2273.562991,0,0
5133,1.86770428,1061.55642,-3.346564084,783.6101662,0,0
5135,1.039087948,847.0358306,-2.394623999,1447.144253,0,0
5136,0.707317073,759.1056911,0.85129819,-403.331467,0,0
5232,2.150501672,1059.197324,0.325205659,-3190.621034,0,0
5233,1.619791667,906.640625,3.773072917,-1508.593802,0,0
5234,1.112947658,784.3801653,0.877428828,-1714.023916,0,0
5235,0.845549738,699.921466,-2.404489635,-1274.784354,0,0
5236,0.521084337,607.9518072,-3.78586521,-1224.977803,0,0
5237,0.10326087,515.5434783,-5.445244588,-2861.209422,0,0
5238,-0.387323944,436.8309859,-9.810574964,-7872.225545,0,0
5336,0.150793651,450.4497354,-1.979682869,-5900.875368,0,0
5337,-0.184895833,383.3333333,-3.23171875,-7399.897552,0,0
5338,-0.583333333,326.5885417,-9.142663893,-3609.437915,0,0
5339,-1.381088825,270.7449857,-11.47418322,-3001.680749,0,0
5340,-2.177162698,221.8855159,-5.155098678,-2099.73807,0,0
5436,-0.299270073,287.2992701,-3.518484926,-2481.056003,0,0
5437,-0.6171875,237.9427083,-1.552135417,-4830.796927,0,0
5438,-0.96875,212.0052083,-6.437627887,-2361.509732,0,0
5439,-1.692708333,161.5885417,-10.06702998,-604.4848479,0,0
5440,-2.456278508,115.7952906,-3.673879942,-1539.412586,0,0
5538,-1.507122507,78.29059829,-3.029348865,-3889.108324,0,0
5539,-2.046875,47.68229167,-3.001237559,-2292.619788,0,0
5540,-2.806358382,7.023121387,-5.000850169,-2432.953414,0,0
5639,-2.469656992,-62.37467018,-2.311401172,-7646.28943,0,0
5640,-2.99204244,-92.33421751,-5.291235248,-2974.61328,0,0
5739,-2.898617512,-154.9308756,-5.618247135,-9291.493523,0,0
5740,-3.183510638,-176.6755319,-3.227183829,-2795.556206,0,0
5840,-3.416666667,-231.1458333,-2.935677083,-4438.967396,0,0
5841,-4.047619048,-271.0884354,-3.257549395,-482.7412991,0,0
5940,-3.8,-251.7333333,-4.200152822,-4281.282374,0,0
5941,-4.762532982,-308.5751979,-3.916545583,-797.4591083,0,0
6040,-4.294270833,-251.6927083,-4.795604955,-2061.68568,0,0
6041,-5.262411348,-312.4468085,-4.350038287,-485.77449,0,0
6140,-4.908393113,-254.8122908,-7.61523266,-984.6627158,0,0
6240,-5.842342342,-236.0810811,-5.257836944,-2815.221853,0,1
6340,-6.488888889,-215.4222222,-2.652829238,-2358.838119,0,1
6342,-9.168888889,-383.9111111,-2.450509846,-1963.778923,0,1
6440,-7.326359833,-211.6317992,-9.690674214,121.2614689,0,1
6441,-8.367231638,-279.0112994,-6.00167049,-82.42242615,0,1
6442,-8.971354167,-330,-8.14328125,-2259.26099,0,1
6443,-9.464985994,-365.4621849,-9.427712839,305.4049746,0,1
6444,-9.819047619,-306.5238095,-18.03321859,-2615.645726,0,1
6541,-8.443438914,-235.3393665,-8.600370443,-2299.520756,0,1
6542,-8.252604167,-253.984375,-12.54088542,-972.5230729,0,1
6543,-8.182291667,-270.9635417,-18.12272303,-606.204529,0,1
6544,-8.508241758,-257.3351648,-24.68307073,-2488.355641,0,1
6642,-6.824146982,-163.0183727,-9.044590867,-1384.585607,0,1
6742,-5.113300493,-69.90147783,-8.39674566,-1374.368944,0,1
amami,2.140350877,616.3157895,-7.762835815,5417.72987,1,0
iriomote,1.105263158,304.2105263,-11.09072682,-1156.400501,1,0
ishigaki,0.882352941,284.1176471,-12.21532046,1031.778753,1,0
kuchinoera,5.5,1780,-13.94230769,8364.807692,0,0
oki,0.793103448,557.2413793,-11.83798923,803.6446966,0,0
okinawa,0.082352941,-65.17647059,-7.074796244,1689.648122,1,0
okushiri,-4.3,-431.8888889,-19.51075269,2932.716846,0,1
rishiri,-5.071428571,-21.42857143,-27.91176471,148.2310924,0,1
sado,-2.426229508,-117.704918,-16.01994906,771.2825176,0,0
toku,1.4875,402,-8.8625,4621.960938,1,0
tsushima,5.152542373,1311.525424,-17.91465375,1508.442538,0,0
yaku,4.677419355,1687.096774,-8.230132977,84.45021315,0,0
